10846 10846
gw 0.406250 0.593750
gv 0.722222 0.277778
gu 0.503676 0.496324
gt 0.500000 0.500000
gs 1.000000 0.000000
gr 0.363636 0.636364
gz 0.333333 0.666667
gy 0.473684 0.526316
gg 0.571429 0.428571
gf 0.777778 0.222222
ge 0.511883 0.488117
gd 0.421053 0.578947
gb 0.625000 0.375000
ga 0.486352 0.513648
go 0.695652 0.304348
gn 0.484848 0.515152
gm 0.769231 0.230769
gl 0.345455 0.654545
gk 0.333333 0.666667
gj 0.460000 0.540000
gi 0.519540 0.480460
gh 0.485075 0.514925
-d 0.000000 1.000000
tz 0.506173 0.493827
tx 0.444444 0.555556
ty 0.466019 0.533981
-m 0.750000 0.250000
tw 0.863636 0.136364
tt 0.333333 0.666667
tu 0.701863 0.298137
tr 0.328267 0.671733
ts 0.624277 0.375723
tp 1.000000 0.000000
tn 0.533333 0.466667
to 0.763608 0.236392
tl 0.367347 0.632653
tm 0.793103 0.206897
tj 0.361905 0.638095
tk 0.386364 0.613636
th 0.495327 0.504673
ti 0.461942 0.538058
tf 0.833333 0.166667
tg 0.700000 0.300000
td 0.250000 0.750000
te 0.428969 0.571031
tb 0.600000 0.400000
tc 0.717391 0.282609
ta 0.400943 0.599057
t- 0.000000 1.000000
zl 0.357143 0.642857
zm 0.500000 0.500000
zn 0.333333 0.666667
zo 0.550000 0.450000
zh 0.457831 0.542169
zi 0.458781 0.541219
zj 0.750000 0.250000
zk 0.428571 0.571429
zd 0.523810 0.476190
ze 0.480226 0.519774
zf 1.000000 0.000000
zg 0.500000 0.500000
za 0.392361 0.607639
zb 0.666667 0.333333
mh 0.529412 0.470588
zy 0.380952 0.619048
zz 0.565217 0.434783
zt 0.666667 0.333333
zu 0.500000 0.500000
zv 0.480000 0.520000
zw 0.285714 0.714286
zp 1.000000 0.000000
zr 0.555556 0.444444
zs 0.466667 0.533333
-c 1.000000 0.000000
-b 0.000000 1.000000
tv 0.800000 0.200000
-l 0.000000 1.000000
mz 0.312500 0.687500
ix 0.285714 0.714286
vc 0.000000 1.000000
vh 1.000000 0.000000
vi 0.495177 0.504823
